0	-0.699	-158.31186
0.01	-0.699	-159.39122
0.02	-0.69903	-158.36406
0.03	-0.69896	-159.62192
0.04	-0.69904	-159.2305
0.05	-0.699	-157.28087
0.06	-0.69901	-160.24833
0.07	-0.69902	-160.26537
0.08	-0.69898	-163.278
0.09	-0.69909	-159.41946
0.1	-0.69901	-156.53933
0.11	-0.69904	-156.41952
0.12	-0.699	-159.64189
0.13	-0.699	-159.90005
0.14	-0.69903	-162.79212
0.15	-0.69897	-161.93196
0.16	-0.69905	-160.29414
0.17	-0.69901	-158.93588
0.18	-0.69898	-156.58932
0.19	-0.69899	-159.73903
0.2	-0.69901	-164.55816
0.21	-0.69895	-161.91842
0.22	-0.699	-161.51172
0.23	-0.69902	-159.8645
0.24	-0.69898	-160.48701
0.25	-0.69898	-160.1186
0.26	-0.69896	-159.84415
0.27	-0.69896	-160.18565
0.28	-0.69895	-159.74126
0.29	-0.69905	-161.00762
0.3	-0.69897	-163.40462
0.31	-0.69897	-161.33208
0.32	-0.69898	-162.20908
0.33	-0.69896	-158.46358
0.34	-0.699	-160.10173
0.35	-0.69905	-159.42396
0.36	-0.699	-159.52772
0.37	-0.699	-156.58445
0.38	-0.69902	-156.85977
0.39	-0.69903	-157.76766
0.4	-0.69902	-156.92393
0.41	-0.69901	-157.18959
0.42	-0.699	-158.8012
0.43	-0.69901	-157.51579
0.44	-0.69901	-159.7829
0.45	-0.69904	-159.24392
0.46	-0.69901	-158.81338
0.47	-0.69903	-154.92606
0.474	-0.69904	-165.46063
0.484	-0.69898	-162.0059
0.494	-0.69897	-157.72009
0.504	-0.69897	-157.63155
0.514	-0.69898	-158.19461
0.524	-0.69901	-161.93331
0.534	-0.69899	-160.63593
0.544	-0.69901	-162.51117
0.554	-0.69896	-162.09525
0.564	-0.69903	-157.92523
0.574	-0.69899	-159.37715
0.584	-0.69904	-160.51921
0.594	-0.69901	-163.03379
0.604	-0.69903	-163.87936
0.6126	-0.69894	-153.13655
0.6136	-0.69903	-163.33105
0.6236	-0.69899	-161.982
0.6336	-0.69895	-159.58516
0.6436	-0.69898	-158.21003
0.6536	-0.69898	-158.69453
0.6636	-0.69901	-159.24876
0.6736	-0.69898	-158.55333
0.6836	-0.69896	-162.37354
0.6936	-0.69898	-159.34341
0.7036	-0.699	-158.71878
0.7136	-0.69899	-156.34721
0.7236	-0.69903	-158.34787
0.7336	-0.69897	-157.5164
0.7436	-0.69896	-156.78864
0.7536	-0.69902	-157.65555
0.7636	-0.69903	-160.2627
0.7736	-0.69897	-159.67041
0.7836	-0.699	-160.1876
0.7936	-0.699	-160.24205
0.8036	-0.69898	-162.21395
0.8136	-0.69902	-160.5648
0.8236	-0.69901	-160.04309
0.8336	-0.69901	-159.66462
0.8436	-0.699	-159.72705
0.8536	-0.69895	-161.62714
0.8636	-0.69898	-160.1215
0.8736	-0.69898	-158.76014
0.8836	-0.69897	-158.28469
0.8936	-0.69899	-158.88409
0.9036	-0.69902	-160.93978
0.9136	-0.699	-162.75585
0.9236	-0.69896	-162.45157
0.9336	-0.69898	-158.99855
0.9436	-0.69895	-160.05988
0.9536	-0.699	-162.08949
0.9636	-0.69896	-160.83386
0.9736	-0.69899	-162.29308
0.9836	-0.69901	-158.42005
0.9936	-0.699	-160.70582
1.0036	-0.69896	-159.11954
1.0136	-0.69899	-159.21448
1.0236	-0.69896	-161.03299
1.0336	-0.69896	-160.08967
1.0436	-0.69894	-160.54781
1.0536	-0.69901	-158.83107
1.0636	-0.69903	-156.96723
1.0736	-0.69898	-157.43542
1.0836	-0.69894	-156.52212
1.0936	-0.699	-158.04392
1.1036	-0.699	-158.02162
1.1136	-0.69902	-160.39057
1.1236	-0.69898	-157.55766
1.1336	-0.69902	-153.9414
1.1436	-0.69903	-154.94835
1.1536	-0.69902	-159.60516
1.1636	-0.69899	-159.93059
1.1736	-0.69898	-159.05586
1.1836	-0.69898	-159.905
1.1936	-0.69898	-158.96138
1.2036	-0.69899	-160.84863
1.2136	-0.69898	-160.25062
1.2236	-0.69894	-159.13756
1.2336	-0.699	-158.36953
1.2436	-0.69896	-156.40229
1.2536	-0.69898	-153.93273
1.2636	-0.69894	-158.61951
1.2736	-0.69898	-158.2236
1.2836	-0.69899	-158.13691
1.2936	-0.69898	-159.42202
1.3036	-0.69899	-161.05348
1.3136	-0.69902	-157.40777
1.3236	-0.69906	-159.81753
1.3336	-0.69898	-157.99475
1.3436	-0.69896	-156.21558
1.3536	-0.69901	-158.54641
1.3636	-0.69902	-159.64024
1.3736	-0.69902	-159.19723
1.3836	-0.69901	-158.53958
1.3936	-0.69906	-159.09316
1.4036	-0.69901	-159.83309
1.4136	-0.69897	-159.25974
1.4236	-0.69901	-158.60114
1.4336	-0.69904	-155.44792
1.4436	-0.69897	-158.00312
1.4536	-0.69896	-158.90583
1.4636	-0.69898	-157.47551
1.4736	-0.69896	-156.76355
1.4836	-0.69899	-157.19719
1.4936	-0.69894	-156.59225
1.5036	-0.699	-159.45024
1.5136	-0.69899	-158.0794
1.5236	-0.69897	-156.59832
1.5336	-0.69901	-157.49346
1.5436	-0.69897	-157.76533
1.5536	-0.69899	-156.91781
1.5636	-0.69898	-154.67823
1.5736	-0.69895	-155.31064
1.5836	-0.69904	-157.26569
1.5936	-0.69901	-157.78832
1.6036	-0.69897	-156.79973
1.6136	-0.69899	-158.99418
1.6236	-0.69901	-157.65121
1.6336	-0.69899	-156.99648
1.6436	-0.699	-157.3665
1.6536	-0.699	-157.3982
1.6636	-0.69902	-157.05776
1.6736	-0.69898	-156.63086
1.6836	-0.69901	-156.06368
1.6936	-0.699	-155.69002
1.7036	-0.69902	-156.96965
1.7136	-0.69904	-156.34222
1.7236	-0.69896	-159.95025
1.7336	-0.699	-157.69537
1.7436	-0.69897	-155.18872
1.7536	-0.69898	-154.54809
1.7636	-0.699	-156.9676
1.7736	-0.69898	-155.40579
1.7836	-0.69895	-157.27501
1.7936	-0.699	-157.98332
1.8036	-0.699	-158.04613
1.8136	-0.69898	-158.58595
1.8236	-0.69901	-158.46061
1.8336	-0.699	-157.06527
1.8436	-0.69903	-157.05051
1.8536	-0.69898	-158.59408
1.8636	-0.69902	-161.8867
1.8736	-0.69904	-160.91856
1.8836	-0.69901	-158.08473
1.8936	-0.69899	-156.25818
1.9036	-0.69899	-158.00001
1.9136	-0.69897	-160.40332
1.9236	-0.69904	-160.94958
1.9336	-0.69899	-161.2616
1.9436	-0.699	-158.87456
1.9536	-0.69899	-157.97671
1.9636	-0.699	-162.12229
1.9736	-0.69903	-157.34632
1.9836	-0.69896	-158.87017
1.9936	-0.69897	-158.21628
2.0036	-0.69901	-158.86793
2.0136	-0.69897	-157.68528
2.0236	-0.69896	-157.65701
2.0336	-0.69901	-157.07438
2.0436	-0.69898	-156.32565
2.0536	-0.69896	-155.49405
2.0636	-0.69901	-158.18968
2.0736	-0.69899	-159.40275
2.0836	-0.69898	-158.4034
2.0936	-0.69897	-157.45003
2.1036	-0.69901	-155.33328
2.1136	-0.69904	-155.38568
2.1236	-0.69898	-155.27517
2.1336	-0.69897	-156.44194
2.1436	-0.69899	-157.48711
2.1536	-0.69898	-157.92433
2.1636	-0.69897	-159.91233
2.1736	-0.69899	-157.07899
2.1836	-0.69901	-156.20004
2.1936	-0.699	-155.11567
2.2036	-0.69899	-157.19485
2.2136	-0.69898	-158.36864
2.2236	-0.69895	-155.66482
2.2336	-0.69896	-154.65056
2.2436	-0.69896	-156.11572
2.2536	-0.69896	-157.20724
2.2636	-0.69902	-159.77952
2.2736	-0.69901	-160.30509
2.2836	-0.69895	-156.73109
2.2936	-0.69902	-155.15418
2.3036	-0.69899	-155.70768
2.3136	-0.69897	-158.16119
2.3236	-0.69899	-157.2363
2.3336	-0.69902	-158.29355
2.3436	-0.69897	-158.40909
2.3536	-0.69904	-159.39827
2.3636	-0.69901	-161.33684
2.3736	-0.69897	-160.2598
2.3836	-0.69897	-157.64799
2.3936	-0.69899	-156.16357
2.4036	-0.69903	-159.50835
2.4136	-0.69897	-157.91113
2.4236	-0.69902	-158.63522
2.4336	-0.699	-157.73266
2.4436	-0.69903	-159.36922
2.4536	-0.69903	-158.72534
2.4636	-0.69899	-157.48573
2.4736	-0.69903	-155.28843
2.4836	-0.69899	-157.48637
2.4936	-0.69896	-161.06532
2.5036	-0.69896	-158.43355
2.5136	-0.69904	-159.49712
2.5236	-0.699	-160.36661
2.5336	-0.69899	-157.71961
2.5436	-0.69898	-159.5493
2.5536	-0.69897	-160.57939
2.5636	-0.69896	-160.31649
2.5736	-0.699	-158.11041
2.5836	-0.69901	-155.9314
2.5936	-0.69901	-156.60439
2.6036	-0.69896	-158.71603
2.6136	-0.69899	-157.8906
2.6236	-0.69895	-157.09792
2.6336	-0.69898	-154.85929
2.6436	-0.69893	-156.82024
2.6536	-0.69899	-158.04511
2.6636	-0.69903	-155.69715
2.6736	-0.69897	-154.4724
2.6836	-0.69896	-157.36761
2.6936	-0.69899	-153.5762
2.7036	-0.69903	-155.47401
2.7136	-0.69904	-157.52754
2.7236	-0.69901	-154.95408
2.7336	-0.69897	-156.6586
2.7436	-0.69894	-157.31045
2.7536	-0.69893	-155.5329
2.7636	-0.69895	-156.98839
2.7736	-0.69897	-157.57516
2.7836	-0.69895	-156.44829
2.7936	-0.69899	-159.84109
2.8036	-0.69899	-158.77367
2.8136	-0.69904	-158.05013
2.8236	-0.69897	-155.04679
2.8336	-0.69903	-154.63547
2.8436	-0.69898	-155.48245
2.8536	-0.69895	-158.8821
2.8636	-0.69898	-157.81411
2.8736	-0.69899	-157.98096
2.8836	-0.69899	-156.72499
2.8936	-0.69901	-154.78003
2.9036	-0.69896	-155.94044
2.9136	-0.69896	-154.52797
2.9236	-0.69898	-155.48132
2.9336	-0.69901	-156.73868
2.9436	-0.69899	-158.11213
2.9536	-0.69899	-156.99494
2.9636	-0.69901	-154.9075
2.9736	-0.69898	-156.27558
2.9836	-0.69899	-154.46989
2.9936	-0.69898	-156.37882
3.0036	-0.699	-153.53797
3.0136	-0.69894	-154.90083
3.0236	-0.699	-156.84101
3.0336	-0.699	-155.62198
3.0436	-0.69898	-155.88692
3.0536	-0.69897	-156.78957
3.0636	-0.69901	-155.48308
3.0736	-0.69898	-154.00211
3.0836	-0.69903	-155.98324
3.0936	-0.69897	-157.19104
3.1036	-0.699	-161.0566
3.1044	-0.69901	-150.74774
3.1078	-0.69899	-161.11485
3.1178	-0.69903	-161.47554
3.1278	-0.69899	-160.26654
3.1378	-0.69894	-158.2015
3.1478	-0.69901	-157.71123
3.1578	-0.69902	-154.41962
3.1678	-0.69901	-156.72396
3.1778	-0.69898	-157.64626
3.1878	-0.69899	-158.12867
3.1978	-0.69898	-157.19007
3.2078	-0.69898	-158.47117
3.2178	-0.69898	-156.88769
3.2278	-0.69897	-156.86044
3.2378	-0.69898	-154.76206
3.2478	-0.69897	-155.49422
3.2578	-0.69903	-155.16977
3.2678	-0.69901	-155.73993
3.2778	-0.699	-155.7428
3.2878	-0.69899	-155.03535
3.2978	-0.69898	-154.39585
3.3078	-0.69892	-155.50245
3.3178	-0.69901	-157.1095
3.3278	-0.69899	-154.47471
3.3378	-0.69902	-153.82467
3.3478	-0.69901	-154.57535
3.3578	-0.69899	-154.43428
3.3678	-0.69898	-155.40401
3.3778	-0.699	-158.85466
3.3878	-0.69898	-157.43855
3.3978	-0.69901	-157.36411
3.4078	-0.69896	-160.01856
3.4178	-0.69898	-158.62459
3.4278	-0.69893	-154.59088
3.4378	-0.69901	-155.28292
3.4478	-0.69895	-156.86396
3.4578	-0.69899	-161.33835
3.4678	-0.69897	-161.02798
3.4778	-0.69896	-159.69783
3.4878	-0.69894	-158.98634
3.4978	-0.69902	-156.3496
3.5078	-0.69897	-156.96354
3.5178	-0.69901	-157.95702
3.5278	-0.69899	-159.33921
3.5378	-0.69903	-157.68192
3.5478	-0.69904	-158.89174
3.5578	-0.69902	-158.23548
3.5678	-0.69905	-160.02107
3.5778	-0.69897	-158.49139
3.5878	-0.69897	-159.0643
3.5978	-0.69903	-156.87411
3.6078	-0.699	-156.49518
3.6178	-0.69895	-156.96006
3.6278	-0.69898	-158.44093
3.6378	-0.69898	-156.43626
3.6478	-0.69898	-152.74816
3.6578	-0.69901	-152.73163
3.6678	-0.69898	-155.6003
3.6778	-0.69907	-154.63267
3.6878	-0.699	-154.75199
3.6978	-0.69897	-155.81679
3.7078	-0.699	-154.81879
3.7178	-0.69896	-158.42275
3.7278	-0.69896	-156.38973
3.7378	-0.69897	-152.35436
3.7478	-0.69899	-154.55736
3.7578	-0.69899	-155.90521
3.7678	-0.69903	-156.29952
3.7778	-0.69897	-155.84551
3.7878	-0.69897	-155.34413
3.7978	-0.69898	-155.96518
3.8078	-0.69903	-159.1624
3.8178	-0.699	-155.12994
3.8278	-0.69896	-155.38592
3.8378	-0.69901	-157.266
3.8478	-0.69896	-157.07833
3.8578	-0.699	-156.86777
3.8678	-0.69901	-157.43618
3.8778	-0.69896	-157.22004
3.8878	-0.69901	-158.51023
3.8978	-0.69896	-158.88529
3.9078	-0.69895	-156.82797
3.9178	-0.69901	-158.06573
3.9278	-0.69895	-159.69505
3.9378	-0.69899	-157.83409
3.9478	-0.69898	-157.22584
3.9578	-0.69901	-156.55165
3.9678	-0.69899	-157.02057
3.9778	-0.69903	-158.99883
3.9878	-0.699	-157.02616
3.9978	-0.699	-156.19828
4.0078	-0.69905	-156.89746
4.0178	-0.699	-153.52416
4.0278	-0.699	-155.24014
4.0378	-0.69898	-154.4219
4.0478	-0.69896	-157.36433
4.0578	-0.69897	-158.98243
4.0678	-0.69904	-157.8929
4.0778	-0.69902	-154.66782
4.0878	-0.699	-155.28423
4.0978	-0.69901	-154.71254
4.1078	-0.69897	-158.0259
4.1178	-0.69896	-157.29381
4.1278	-0.69901	-159.13027
4.1378	-0.699	-156.08479
4.1478	-0.69897	-155.08033
4.1578	-0.69901	-152.92996
4.1678	-0.69899	-151.68663
4.1688	-0.69899	-161.92821
4.1788	-0.69904	-158.48651
4.1888	-0.69898	-156.39175
4.1988	-0.69895	-156.02784
4.2088	-0.69902	-160.93293
4.2188	-0.69897	-158.43113
4.2288	-0.69902	-157.14794
4.2388	-0.69902	-155.43853
4.2488	-0.69903	-155.68602
4.2588	-0.69896	-156.59016
4.2688	-0.69899	-157.93358
4.2788	-0.69903	-156.13588
4.2888	-0.69901	-157.93084
4.2988	-0.69901	-155.69225
4.3088	-0.69895	-153.22496
4.3188	-0.699	-155.86298
4.3288	-0.69901	-158.02439
4.3388	-0.69901	-157.12644
4.3488	-0.69903	-156.92723
4.3588	-0.69899	-155.14352
4.3688	-0.69897	-159.13488
4.3788	-0.69896	-157.67969
4.3888	-0.69901	-156.01557
4.3988	-0.69902	-159.39423
4.4088	-0.69898	-160.40725
4.4188	-0.69893	-156.88936
4.4288	-0.699	-154.72702
4.4388	-0.69899	-154.84461
4.4488	-0.69905	-155.81965
4.4588	-0.69901	-156.67783
4.4688	-0.69901	-156.47758
4.4788	-0.69901	-157.66322
4.4888	-0.69897	-157.06188
4.4988	-0.69898	-157.12223
4.5088	-0.69901	-158.35772
4.5188	-0.69899	-156.8588
4.5288	-0.69896	-156.49366
4.5388	-0.69898	-153.99797
4.5488	-0.69902	-153.76567
4.5588	-0.699	-150.12438
4.5598	-0.69896	-160.48982
4.5698	-0.69898	-160.55414
4.5798	-0.69899	-157.16805
4.5898	-0.69899	-155.1246
4.5998	-0.69897	-157.91397
4.6098	-0.699	-160.59144
4.6198	-0.69899	-159.22589
4.6298	-0.69907	-156.64469
4.6398	-0.69902	-157.53238
4.6498	-0.69903	-155.17057
4.6598	-0.69902	-155.66309
4.6698	-0.69898	-155.34515
4.6798	-0.69895	-158.00229
4.6898	-0.69898	-159.37496
4.6998	-0.69901	-158.49788
4.7098	-0.69897	-156.36842
4.7198	-0.699	-157.42181
4.7298	-0.69901	-155.48682
4.7398	-0.69898	-155.49786
4.7498	-0.69901	-158.23973
4.7598	-0.69898	-155.48552
4.7698	-0.69898	-156.05795
4.7798	-0.69904	-158.19948
4.7898	-0.69902	-155.44032
4.7998	-0.69898	-155.13709
4.8098	-0.69901	-154.85038
4.8198	-0.69901	-155.76705
4.8298	-0.69902	-157.34244
4.8398	-0.69903	-155.93915
4.8498	-0.69896	-156.54388
4.8598	-0.69905	-156.8886
4.8698	-0.699	-156.19383
4.8798	-0.69902	-159.53206
4.8898	-0.69897	-154.88679
4.8998	-0.699	-154.6028
4.9098	-0.69899	-155.32869
4.9198	-0.69901	-155.40095
4.9298	-0.699	-158.76843
4.9398	-0.69901	-158.03876
4.9498	-0.69894	-155.56894
4.9598	-0.69901	-156.40141
4.9698	-0.69899	-157.29651
4.9798	-0.69902	-154.64911
4.9898	-0.69901	-156.1224
4.9998	-0.69904	-155.19068
5.0098	-0.69896	-154.49065
5.0198	-0.69901	-157.32471
5.0298	-0.69903	-159.00176
5.0398	-0.69902	-159.43938
5.0498	-0.69899	-158.17567
5.0598	-0.69898	-154.88442
5.0698	-0.69899	-153.47115
5.0798	-0.69899	-155.9377
5.0898	-0.69902	-157.01046
5.0998	-0.69901	-155.42463
5.1098	-0.69898	-156.73417
5.1198	-0.69907	-156.46707
5.1298	-0.69898	-156.28221
5.1398	-0.69901	-156.85566
5.1498	-0.69901	-154.92131
5.1598	-0.699	-153.67051
5.1698	-0.699	-154.88001
5.1798	-0.69897	-156.88686
5.1898	-0.69899	-155.43685
5.1998	-0.69902	-159.09123
5.2098	-0.69904	-158.18296
5.2198	-0.69898	-157.28087
5.2298	-0.69906	-157.63919
5.2398	-0.69898	-157.03429
5.2498	-0.69897	-156.97111
5.2598	-0.69898	-157.15734
5.2698	-0.69898	-156.53703
5.2798	-0.69901	-154.78264
5.2898	-0.69898	-156.34728
5.2998	-0.69899	-155.93601
5.3098	-0.69898	-155.28605
5.3198	-0.69899	-157.68052
5.3298	-0.69901	-158.59669
5.3398	-0.69903	-155.92852
5.3498	-0.69896	-158.35828
5.3598	-0.699	-155.58784
5.3698	-0.69898	-157.20993
5.3798	-0.69903	-158.11894
